;lnk;name;company;date_valid
253;https://jobs.ge/ge/?view=jobs&id=376919;სატელეკომუნიკაციო ქსელის ჯგუფის ოპერატორი;სერვის ნეტ გრუპი;01 ივნისი-01 ივლისი
254;https://jobs.ge/ge/?view=jobs&id=376776;IT ხარისხის მართვის ინჟინერი;საქართველოს ბანკი;01 ივნისი-01 ივლისი
255;https://jobs.ge/ge/?view=jobs&id=376943;Java დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;01 ივნისი-01 ივლისი
256;https://jobs.ge/ge/?view=jobs&id=376679;Manual QA ტესტერი;Pulsar AI;31 მაისი-01 ივლისი
257;https://jobs.ge/ge/?view=jobs&id=376662;.NET დეველოპერი;Lemondo;31 მაისი-01 ივლისი
258;https://jobs.ge/ge/?view=jobs&id=376255;ტექნიკური მხარდაჭერის ინჟინერი;UGT;30 მაისი-30 ივნისი
259;https://jobs.ge/ge/?view=jobs&id=376165;.NET/ERP დეველოპერი;BIT;30 მაისი-30 ივნისი
260;https://jobs.ge/ge/?view=jobs&id=376084;დეველოპერი;Solid Square;30 მაისი-30 ივნისი
261;https://jobs.ge/ge/?view=jobs&id=375990;Blockchain სტაჟიორი;Pyme;29 მაისი-29 ივნისი
262;https://jobs.ge/ge/?view=jobs&id=375965;ბექ-ენდ დეველოპერი;Dataninja;29 მაისი-29 ივნისი
263;https://jobs.ge/ge/?view=jobs&id=375934;გრაფიკული დიზაინერი;ლიბრე;28 მაისი-28 ივნისი
264;https://jobs.ge/ge/?view=jobs&id=375818;IT განყოფ. საოპერაციო და ტექ. სამსახურის მომარაგების ოფიცერი;ლაზიკა კაპიტალი;27 მაისი-27 ივნისი
265;https://jobs.ge/ge/?view=jobs&id=375829;Java დეველოპერი;Reality Interactive;27 მაისი-27 ივნისი
266;https://jobs.ge/ge/?view=jobs&id=375813;1C პროგრამის ოპერატორი;ლიბო გრუპი;27 მაისი-27 ივნისი
267;https://jobs.ge/ge/?view=jobs&id=375786;სხვადასხვა;საბავშვო ბაღი Stemlab;27 მაისი-27 ივნისი
268;https://jobs.ge/ge/?view=jobs&id=375767;HTML5 თამაშების დეველოპერი;ProFair Games;27 მაისი-27 ივნისი
269;https://jobs.ge/ge/?view=jobs&id=375765;FullStack დეველოპერი;Sourceter;27 მაისი-27 ივნისი
270;https://jobs.ge/ge/?view=jobs&id=375749;Python დეველოპერი;Gegidze Creative Agency;27 მაისი-27 ივნისი
271;https://jobs.ge/ge/?view=jobs&id=375672;QA ინჟინერი/სტაჟიორი;a1qa;27 მაისი-27 ივნისი
272;https://jobs.ge/ge/?view=jobs&id=375616;RoR დეველოპერი;SOFTSWISS;26 მაისი-26 ივნისი
273;https://jobs.ge/ge/?view=jobs&id=375613;სისტემის ინჟინერი;SOFTSWISS;26 მაისი-26 ივნისი
274;https://jobs.ge/ge/?view=jobs&id=375615;მხარდაჭერის აგენტი;SOFTSWISS;26 მაისი-26 ივნისი
275;https://jobs.ge/ge/?view=jobs&id=375614;L3 Ruby დეველოპერი;SOFTSWISS;26 მაისი-26 ივნისი
276;https://jobs.ge/ge/?view=jobs&id=375608;ტექნოლოგიების მთავარი ოფიცრის მოადგილე;SOFTSWISS;26 მაისი-26 ივნისი
277;https://jobs.ge/ge/?view=jobs&id=375583;გრაფიკული დიზაინერი;ვილა რეზიდენსი;26 მაისი-26 ივნისი
278;https://jobs.ge/ge/?view=jobs&id=375581;აუთრიჩ პარტნიორობის მენეჯერი ;Pyme;26 მაისი-26 ივნისი
279;https://jobs.ge/ge/?view=jobs&id=375050;აკადემიური თანამდებობები - ბიზნესის ადმინისტრირების პროგრამა;ალტე უნივერსიტეტი;24 მაისი-29 ივნისი
280;https://jobs.ge/ge/?view=jobs&id=374144;მთავარი პროგრამისტი/.NET დეველოპერი;კომუნიკაციების ეროვნული კომისია;20 მაისი-06 ივლისი
281;https://jobs.ge/ge/?view=jobs&id=370640;ტესტერი;ACMG.UK;05 მაისი-30 ივნისი
282;https://jobs.ge/ge/?view=jobs&id=341846;Android დეველოპერი;თიბისი ბანკი;02 დეკემბერი-16 დეკემბერი
283;https://jobs.ge/ge/?view=jobs&id=341845;.Net დეველოპერი;თიბისი ბანკი;02 დეკემბერი-16 დეკემბერი
